Collision,Wrong lane change,Avg. distance to lane center,Route completed [%],Max. distance traveled [steps],Avg. speed compliance,Cumulative reward
1,13,0,0,143,0.7813832719683238,-46.0
1,19,0,0,319,0.41585223575618446,-58.0
0,13,0,0,401,0.34648500075759725,-26.0
0,23,0,0,401,0.3501325434647636,-46.0
1,3,0,0,116,0.9272058262623921,-26.0
1,10,0,0,262,0.4730105713523394,-40.0
1,8,0,0,249,0.4919868900692444,-36.0
1,13,0,0,247,0.4929144910245418,-46.0
1,15,0,0,263,0.4741561734971749,-50.0
0,19,0,0,401,0.35264888902744695,-38.0
1,9,0,0,135,0.8411272793158788,-38.0
1,14,0,0,276,0.4517778626768181,-48.0
1,9,0,0,272,0.4605942183081005,-38.0
1,8,0,0,197,0.6027533761950168,-36.0
1,7,0,0,147,0.7567727206716293,-34.0
1,4,0,0,110,0.9826894724865255,-28.0
1,3,0,0,95,1.119817642939317,-26.0
1,11,0,0,172,0.6724831836194869,-42.0
1,13,0,0,290,0.44280235208028956,-46.0
1,15,0,0,250,0.4829586018978577,-50.0
1,13,0,0,162,0.7044656000359363,-46.0
1,3,0,0,73,1.4313090088750888,-26.0
1,17,0,0,278,0.45227850345773407,-54.0
1,5,0,0,226,0.5305575961366866,-30.0
1,7,0,0,113,0.9521549110618251,-34.0
1,5,0,0,121,0.9118830545125317,-30.0
1,3,0,0,80,1.3034594465108724,-26.0
1,16,0,0,204,0.5767775369163676,-52.0
1,18,0,0,379,0.36471948925636144,-56.0
1,6,0,0,167,0.682952684987883,-32.0
1,19,0,0,237,0.5133066217142521,-58.0
1,1,0,0,1,0.22569967085767217,-58.0
1,5,0,0,122,0.888225995688181,-30.0
1,8,0,0,152,0.7298678937012925,-36.0
1,9,0,0,185,0.6392374965358236,-38.0
1,3,0,0,183,0.6310805524596927,-26.0
1,25,0,0,293,0.44320049617873575,-70.0
1,16,0,0,265,0.4719178237259227,-52.0
1,8,0,0,136,0.819413844828295,-36.0
1,3,0,0,87,1.211062856205814,-26.0
1,3,0,0,156,0.7193019653163648,-26.0
1,3,0,0,183,0.6301606925214589,-26.0
1,3,0,0,80,1.3025020465546209,-26.0
1,10,0,0,170,0.6675066819568516,-40.0
1,14,0,0,282,0.450089992853026,-48.0
1,3,0,0,76,1.3781894379185875,-26.0
1,3,0,0,87,1.2124790883788368,-26.0
1,7,0,0,173,0.6571253117195305,-34.0
1,9,0,0,138,0.7985404823493852,-38.0
0,15,0,0,401,0.35068032647329855,-30.0
1,8,0,0,218,0.5486424827297453,-36.0
1,3,0,0,139,0.7984117579930872,-26.0
1,3,0,0,79,1.33081562846739,-26.0
1,18,0,0,276,0.44558484869264203,-56.0
1,7,0,0,101,1.0712234647789551,-34.0
1,3,0,0,105,1.028420448567524,-26.0
1,8,0,0,117,0.9488901988967255,-36.0
1,8,0,0,214,0.5491282872585874,-36.0
1,3,0,0,73,1.4332067747547563,-26.0
1,22,0,0,295,0.43527474798871074,-64.0
1,7,0,0,150,0.7424243397416419,-34.0
1,3,0,0,124,0.9084627856277203,-26.0
1,6,0,0,159,0.708364820038518,-32.0
1,10,0,0,277,0.454049044870336,-40.0
1,3,0,0,169,0.6680528466703405,-26.0
0,16,0,0,401,0.3484386108503345,-32.0
1,10,0,0,263,0.46952888025106043,-40.0
1,20,0,0,296,0.42928040163050685,-60.0
1,21,0,0,350,0.38369184650364996,-62.0
1,20,0,0,360,0.37215331709994093,-60.0
1,9,0,0,148,0.7481345447426516,-38.0
1,15,0,0,367,0.37634147661635897,-50.0
1,8,0,0,139,0.8053186555351515,-36.0
1,6,0,0,199,0.5829618747282008,-32.0
1,9,0,0,185,0.6277120515561865,-38.0
1,10,0,0,203,0.5718513347427718,-40.0
1,8,0,0,157,0.7155252021787143,-36.0
1,3,0,0,71,1.4176872710302557,-26.0
1,14,0,0,326,0.41829547511795856,-48.0
1,15,0,0,237,0.5247116389819079,-50.0
1,12,0,0,224,0.5351929513351831,-44.0
1,15,0,0,241,0.5078790129950039,-50.0
1,7,0,0,137,0.8137941092896508,-34.0
1,20,0,0,316,0.42009325128015645,-60.0
1,15,0,0,271,0.4669772224108226,-50.0
1,15,0,0,275,0.45856537964956834,-50.0
1,19,0,0,356,0.3812308729571255,-58.0
1,8,0,0,288,0.4320023177581793,-36.0
1,8,0,0,185,0.6252393704101857,-36.0
1,8,0,0,193,0.6107318443350651,-36.0
1,6,0,0,234,0.5207557460121619,-32.0
1,3,0,0,100,1.0728632257418884,-26.0
1,7,0,0,161,0.7027237657601597,-34.0
0,18,0,0,401,0.3490234600239141,-36.0
1,13,0,0,268,0.461759776397388,-46.0
0,19,0,0,401,0.34866246561613207,-38.0
1,3,0,0,118,0.9324839121311825,-26.0
1,8,0,0,178,0.6515273310284192,-36.0
1,8,0,0,185,0.6362676347356778,-36.0
1,13,0,0,287,0.4390856227265239,-46.0
0,10,0,0,393,0.35955592679374265,-20.0
1,5,0,0,139,0.7871256766252628,-30.0
1,12,0,0,198,0.5915415627124827,-44.0
0,18,0,0,401,0.34521871238574586,-36.0
1,4,0,0,92,1.1596367691184073,-28.0
1,3,0,0,71,1.468309551436579,-26.0
1,10,0,0,126,0.867550302657691,-40.0
1,8,0,0,167,0.6832027179672902,-36.0
1,15,0,0,227,0.5400648774736613,-50.0
0,16,0,0,401,0.34840829630237624,-32.0
1,3,0,0,97,1.0934263164158864,-26.0
1,14,0,0,208,0.5729842318833913,-48.0
1,10,0,0,161,0.6987495331282007,-40.0
1,9,0,0,197,0.5998111003383516,-38.0
1,10,0,0,265,0.4820094203663685,-40.0
1,8,0,0,155,0.7134018693630866,-36.0
1,8,0,0,118,0.9313474507984929,-36.0
1,3,0,0,106,1.0237971699522632,-26.0
1,7,0,0,134,0.8255551547839236,-34.0
0,19,0,0,401,0.34521889035006187,-38.0
1,13,0,0,176,0.6535457188559134,-46.0
1,10,0,0,279,0.45446908430286737,-40.0
1,10,0,0,183,0.6341931578348967,-40.0
0,22,0,0,401,0.3539735446520947,-44.0
1,3,0,0,83,1.2431391585399618,-26.0
1,7,0,0,127,0.8776179366005556,-34.0
